"cnt","sumnof","sumnoa","minbn","maxbn","received_time","run_id"
4,800,800,28,28,"2022-07-24 14:06:59+02","4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,2000,2000,337,337,"2022-07-19 10:55:17+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
2,400,400,50,50,"2022-07-24 11:47:57+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,2000,2000,68,68,"2022-07-19 10:47:13+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
3,300,300,257,257,"2022-07-24 14:22:22+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
2,200,200,49,49,"2022-07-24 11:18:04+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,400,400,208,208,"2022-07-24 10:57:28+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
2,0,0,386,387,"2022-07-19 22:57:52+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-6-quorum-rl-400-ib-5"
1,3968,3968,45,45,"2022-07-19 18:02:55+02","4000000-quorumConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10"
4,400,400,208,208,"2022-07-23 14:24:20+02","4000000-sawtoothConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
4,400,400,86,86,"2022-07-23 19:40:52+02","4000000-sawtoothConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-10-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
4,400,400,181,181,"2022-07-24 11:28:27+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,400,400,170,170,"2022-07-24 11:57:09+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,400,400,172,172,"2022-07-24 10:55:45+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
1,2000,2000,463,463,"2022-07-19 11:51:08+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
3,0,0,186,188,"2022-07-19 23:28:44+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5"
8,800,800,1229,1230,"2022-07-19 10:31:14+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,400,400,220,220,"2022-07-24 11:59:16+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
3,0,0,330,332,"2022-07-19 21:23:01+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
8,800,800,931,932,"2022-07-19 10:26:05+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,2000,2000,307,307,"2022-07-19 10:54:39+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
1,2299,2299,41,41,"2022-07-19 19:17:21+02","4000000-quorumConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10"
3,6000,6000,452,458,"2022-07-19 11:50:53+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
2,0,0,31,32,"2022-07-19 19:15:45+02","4000000-quorumConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10"
2,8029,8029,41,42,"2022-07-19 18:02:24+02","4000000-quorumConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10"
3,0,0,237,239,"2022-07-19 22:02:44+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-5-quorum-rl-400-ib-5"
8,800,800,185,186,"2022-07-19 10:17:59+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,400,400,98,98,"2022-07-23 19:41:43+02","4000000-sawtoothConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-10-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
5,5474,5474,95,97,"2022-07-19 21:03:29+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
3,6000,6000,469,485,"2022-07-19 11:51:32+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
2,4000,4000,484,497,"2022-07-19 11:52:02+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
4,8000,8000,155,155,"2022-07-19 12:29:58+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000"
1,1250,1250,232,232,"2022-07-20 09:54:35+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5"
1,1,100,449,449,"2022-07-18 20:53:08+02","4000000-grapheneConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-graphene-rl-400-bi-2-opt-100-notpc-1"
3,6000,6000,240,241,"2022-07-19 11:36:27+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
3,300,300,252,252,"2022-07-23 21:00:10+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-1"
8,800,800,179,180,"2022-07-19 10:17:56+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
1,5132,5132,120,120,"2022-07-19 19:30:32+02","4000000-quorumConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10"
3,0,0,340,342,"2022-07-19 21:23:53+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
2,4000,4000,21,21,"2022-07-19 12:14:00+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000"
4,8000,8000,249,249,"2022-07-19 11:36:42+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
8,800,800,953,954,"2022-07-19 10:26:16+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
3,6000,6000,435,437,"2022-07-19 11:50:31+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
4,8000,8000,136,136,"2022-07-19 12:28:23+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000"
3,0,0,237,239,"2022-07-19 21:15:15+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
6,0,0,351,353,"2022-07-19 23:42:32+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5"
1,4030,4030,60,60,"2022-07-19 18:05:28+02","4000000-quorumConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10"
8,800,800,1603,1604,"2022-07-19 10:34:21+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
3,0,0,342,344,"2022-07-19 22:11:28+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-5-quorum-rl-400-ib-5"
4,8000,8000,119,119,"2022-07-19 12:24:06+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000"
1,1,100,468,468,"2022-07-18 20:55:23+02","4000000-grapheneConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-graphene-rl-400-bi-2-opt-100-notpc-1"
4,400,400,184,184,"2022-07-24 11:28:36+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,2000,2000,354,354,"2022-07-19 10:55:38+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
2,1000,1000,42,42,"2022-07-23 16:27:21+02","4000000-sawtoothConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-8-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
4,4616,4616,86,88,"2022-07-19 21:02:43+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
3,300,300,162,162,"2022-07-23 20:56:35+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-1"
3,600,600,25,25,"2022-07-23 13:50:31+02","4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-5"
4,2000,2000,95,95,"2022-07-19 10:47:47+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
4,1200,1200,12,12,"2022-07-23 15:36:49+02","4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
2,800,800,10,10,"2022-07-23 15:36:31+02","4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
8,800,800,737,738,"2022-07-19 10:24:28+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,2000,2000,370,370,"2022-07-19 10:55:58+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
3,6000,6000,512,523,"2022-07-19 11:52:24+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
1,2,200,469,469,"2022-07-18 20:55:26+02","4000000-grapheneConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-graphene-rl-400-bi-2-opt-100-notpc-1"
4,2000,2000,450,450,"2022-07-19 10:57:38+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
3,6000,6000,546,569,"2022-07-19 11:53:51+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
4,800,800,50,50,"2022-07-23 16:03:04+02","4000000-sawtoothConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
3,300,300,86,86,"2022-07-24 11:51:27+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
1,1117,1117,60,60,"2022-07-19 19:20:31+02","4000000-quorumConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10"
2,4000,4000,491,501,"2022-07-19 11:51:53+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
2,0,0,187,188,"2022-07-20 09:50:46+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5"
4,400,400,227,227,"2022-07-24 11:30:22+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
3,6000,6000,25,26,"2022-07-19 11:25:23+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
8,800,800,907,908,"2022-07-19 10:25:53+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
2,4000,4000,581,609,"2022-07-19 11:54:52+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
8,800,800,847,848,"2022-07-19 10:25:23+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
2,4000,4000,489,498,"2022-07-19 11:51:49+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
2,800,800,10,10,"2022-07-23 15:36:30+02","4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
1,13,1300,1568,1568,"2022-07-18 21:34:01+02","4000000-grapheneConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-graphene-rl-400-bi-2-opt-100-notpc-1"
4,400,400,145,145,"2022-07-24 11:26:19+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,800,800,106,106,"2022-07-23 18:47:54+02","4000000-sawtoothConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-9-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
3,0,0,355,357,"2022-07-19 22:55:14+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-6-quorum-rl-400-ib-5"
4,400,400,205,205,"2022-07-24 14:20:48+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,400,400,69,69,"2022-07-24 11:20:12+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
31,0,0,994,1009,"2022-07-19 18:44:13+02","4000000-quorumConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-1"
4,2000,2000,519,519,"2022-07-19 11:01:45+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
2,4000,4000,29,29,"2022-07-19 12:14:41+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000"
3,0,0,365,367,"2022-07-20 10:05:41+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5"
2,4000,4000,433,440,"2022-07-19 11:50:28+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
8,800,800,1191,1192,"2022-07-19 10:28:15+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
8,800,800,1675,1676,"2022-07-19 10:34:57+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
8,800,800,965,966,"2022-07-19 10:26:22+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,400,400,254,254,"2022-07-24 14:22:16+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,800,800,24,24,"2022-07-24 14:06:25+02","4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,2000,2000,55,55,"2022-07-19 10:46:57+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
8,800,800,977,978,"2022-07-19 10:26:28+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,400,400,176,176,"2022-07-24 10:55:58+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
31,0,0,424,439,"2022-07-19 18:34:43+02","4000000-quorumConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-1"
4,2000,2000,283,283,"2022-07-19 10:54:09+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
8,800,800,1321,1322,"2022-07-19 10:32:00+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
3,300,300,218,218,"2022-07-24 14:21:16+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,400,400,62,62,"2022-07-24 11:19:29+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
8,800,800,1593,1594,"2022-07-19 10:34:16+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
2,4923,4923,34,35,"2022-07-19 19:16:15+02","4000000-quorumConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10"
3,3010,3010,99,100,"2022-07-20 09:43:25+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5"
4,8000,8000,412,412,"2022-07-19 11:41:10+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
4,8000,8000,355,355,"2022-07-19 11:39:39+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
1,1134,1134,88,88,"2022-07-20 09:42:27+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5"
4,2000,2000,212,212,"2022-07-19 10:50:13+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
4,400,400,205,205,"2022-07-24 10:57:21+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,2000,2000,141,141,"2022-07-19 10:48:44+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
1,1129,1129,96,96,"2022-07-19 23:21:14+02","4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-7-quorum-rl-400-ib-5"
2,16,808,42,42,"2022-07-18 19:11:05+02","4000000-grapheneConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-graphene-rl-50-bi-5-opt-100-notpc-1"
4,800,800,27,27,"2022-07-23 13:50:41+02","4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-5"
2,200,200,283,283,"2022-07-24 12:00:48+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
8,800,800,559,560,"2022-07-19 10:21:06+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
8,800,800,1051,1052,"2022-07-19 10:27:05+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
3,0,0,196,198,"2022-07-19 21:11:54+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
2,3016,3016,62,63,"2022-07-19 19:20:52+02","4000000-quorumConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-quorum-rl-100-ib-10"
4,8000,8000,315,315,"2022-07-19 11:38:32+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
3,600,600,102,102,"2022-07-23 15:01:30+02","4000000-sawtoothConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
4,8000,8000,253,253,"2022-07-19 11:36:47+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
8,800,800,491,492,"2022-07-19 10:20:32+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
3,0,0,228,230,"2022-07-19 21:14:32+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
4,2000,2000,115,115,"2022-07-19 10:48:12+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
3,0,0,239,241,"2022-07-19 21:15:26+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
2,200,200,206,206,"2022-07-24 10:57:23+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,2000,2000,685,685,"2022-07-19 11:05:12+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
1,100,100,149,149,"2022-07-24 14:17:53+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
2,200,200,217,217,"2022-07-24 10:57:48+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
8,800,800,1385,1386,"2022-07-19 10:32:32+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
2,4000,4000,271,272,"2022-07-19 11:37:19+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
2,400,400,52,52,"2022-07-23 20:47:28+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-1"
9,0,0,225,227,"2022-07-19 22:44:26+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-6-quorum-rl-400-ib-5"
3,0,0,358,360,"2022-07-19 21:25:23+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
8,800,800,1575,1576,"2022-07-19 10:34:07+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,8000,8000,237,237,"2022-07-19 11:36:22+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
4,8000,8000,369,371,"2022-07-19 11:40:03+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
4,2000,2000,32,32,"2022-07-19 10:46:28+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
1,100,100,251,251,"2022-07-24 12:00:06+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,400,400,117,117,"2022-07-23 15:46:52+02","4000000-sawtoothConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
4,400,400,175,175,"2022-07-24 10:55:55+02","4000000-sawtoothConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
8,800,800,1105,1106,"2022-07-19 10:27:32+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
2,4000,4000,447,453,"2022-07-19 11:50:45+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
