"cnt","sumnof","sumnoa","minbn","maxbn","received_time","run_id"
1,500,500,694,694,"2022-07-19 11:05:23+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500"
1,3126,3126,249,249,"2022-07-20 09:55:48+02","4000000-quorumConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-8-quorum-rl-400-ib-5"
4,8000,8000,177,177,"2022-07-19 12:31:48+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000"
2,400,400,18,18,"2022-07-24 14:05:32+02","4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,800,800,10,10,"2022-07-24 10:40:46+02","4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
3,300,300,131,131,"2022-07-23 14:21:07+02","4000000-sawtoothConfiguration-keyvalue-get-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
4,8000,8000,382,382,"2022-07-19 11:40:23+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
4,400,400,69,69,"2022-07-24 10:48:04+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10"
4,8000,8000,88,88,"2022-07-19 12:21:31+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000"
4,1200,1200,13,13,"2022-07-23 15:58:34+02","4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2"
8,800,800,1655,1656,"2022-07-19 10:34:47+02","4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
4,800,800,64,64,"2022-07-23 20:48:46+02","4000000-sawtoothConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-6-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-1"
3,0,0,345,347,"2022-07-19 21:24:16+02","4000000-quorumConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-quorum-rl-400-ib-5"
4,8000,8000,133,166,"2022-07-19 11:28:44+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-400-mm-2000"
8,800,800,83,84,"2022-07-19 10:17:08+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
8,800,800,199,200,"2022-07-19 10:18:06+02","4000000-fabricConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
8,800,800,687,688,"2022-07-19 10:24:03+02","4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-50-mm-100"
