"stf","etf","countallrows","stfe","etfe","duration","tps","minstarttime","maxendtime","avglatency","maxlatency","minlatency","stddevlatency","variancelatency","maxinvalidcounter","maxexististingcounter","maxerrorcounter","maxvalidcounter","cumulativecount","run_id"
"2022-09-15 22:29:15+02","2022-09-15 22:34:18+02",17349,1663273755,1663274058,303,57.257425742574256,1.4214721887816688e+16,1.4215029903622148e+16,4.429324456741026,12.55,2.08,1.5825853257475386,2.504576313271443,0,0,0,4499,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final8peers-repid-1-cordaenterprise-rl-opti"
"2022-09-18 13:53:16+02","2022-09-18 13:58:57+02",1044,1663501996,1663502337,341,3.06158357771261,1.4442962612523868e+16,1.4443308772799e+16,203.6194348659004,281.37,22.11,60.35811664105338,3643.102244455005,371,0,0,301,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final8peers-repid-1-cordaos-rl-opti"
"2022-09-15 23:43:09+02","2022-09-15 23:48:12+02",17284,1663278189,1663278492,303,57.04290429042904,1.421915621905337e+16,1.4219464394085378e+16,4.686938208747978,11.26,1.72,1.7641461372215619,3.1122115934737575,0,0,0,4566,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final8peers-repid-2-cordaenterprise-rl-opti"
"2022-09-18 15:13:11+02","2022-09-18 15:18:52+02",1058,1663506791,1663507132,341,3.102639296187683,1.444775772751812e+16,1.444810329567502e+16,204.66363894139891,279.78,20.42,60.01743768909583,3602.0928267645004,370,0,0,300,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final8peers-repid-2-cordaos-rl-opti"
"2022-09-16 00:56:13+02","2022-09-16 01:01:15+02",17304,1663282573,1663282875,302,57.29801324503311,1.4223539640961972e+16,1.4223847188466672e+16,4.876320503929729,13.07,2.09,2.175656392672116,4.733480738975045,0,0,0,4573,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final8peers-repid-3-cordaenterprise-rl-opti"
"2022-09-18 16:22:26+02","2022-09-18 16:28:08+02",1063,1663510946,1663511288,342,3.108187134502924,1.4451913019965048e+16,1.4452259456884264e+16,204.32714957666983,279.28,22.67,59.999290179913174,3599.9148220934253,367,0,0,307,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final8peers-repid-3-cordaos-rl-opti"
"2022-09-15 22:51:54+02","2022-09-15 22:57:53+02",930,1663275114,1663275473,359,2.5905292479108635,1.4216080847593492e+16,1.4216440247679568e+16,143.28455913978496,187.89,62.64,27.824842871191738,774.2218808065097,61,0,0,267,1,"4000000-cordaConfiguration-keyvalue-get-40-flalv-rn-1-final8peers-repid-1-cordaenterprise-rl-opti"
"2022-09-16 00:04:30+02","2022-09-16 00:10:31+02",863,1663279470,1663279831,361,2.3905817174515236,1.4220437184789352e+16,1.4220802565179096e+16,145.98899188876015,190.46,72.1,27.71286449458615,768.0028584952937,76,0,0,254,1,"4000000-cordaConfiguration-keyvalue-get-40-flalv-rn-1-final8peers-repid-2-cordaenterprise-rl-opti"
"2022-09-16 01:17:28+02","2022-09-16 01:23:36+02",963,1663283848,1663284216,368,2.6168478260869565,1.422481476650352e+16,1.4225187429499848e+16,140.6449013499481,201.22,63.8,31.304070545354858,979.9448327085535,74,0,0,267,1,"4000000-cordaConfiguration-keyvalue-get-40-flalv-rn-1-final8peers-repid-3-cordaenterprise-rl-opti"
"2022-09-15 22:44:13+02","2022-09-15 22:49:51+02",4265,1663274653,1663274991,338,12.618343195266272,1.421562009364296e+16,1.4215963180919176e+16,32.86703868698711,93,4.28,24.23859028647625,587.5092590756608,0,0,0,1108,1,"4000000-cordaConfiguration-keyvalue-set-40-flalv-rn-1-final8peers-repid-1-cordaenterprise-rl-opti"
