"stf","etf","countallrows","stfe","etfe","duration","tps","minstarttime","maxendtime","avglatency","maxlatency","minlatency","stddevlatency","variancelatency","maxinvalidcounter","maxexististingcounter","maxerrorcounter","maxvalidcounter","cumulativecount","run_id"
"2022-09-14 21:33:32+02","2022-09-14 21:38:49+02",5215,1663184012,1663184329,317,16.451104100946374,1.4124979001923296e+16,1.4125301180664624e+16,26.245326941514858,65.35,12.46,8.284144581174555,68.62705144180374,0,0,0,1403,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final32peers-repid-1-cordaenterprise-rl-opti"
"2022-09-14 23:20:03+02","2022-09-14 23:25:23+02",5230,1663190403,1663190723,320,16.34375,1.4131369448944568e+16,1.4131694532713546e+16,26.060210325047795,55.83,11.28,8.079259199682335,65.27442921565164,0,0,0,1430,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final32peers-repid-2-cordaenterprise-rl-opti"
"2022-09-15 01:04:47+02","2022-09-15 01:10:04+02",5226,1663196687,1663197004,317,16.485804416403784,1.4137654123226892e+16,1.413797592521968e+16,26.847550707998472,59.16,14.36,7.548982154515836,56.98713156919855,0,0,0,1391,1,"4000000-cordaConfiguration-donothing-doNothing-40-flalv-rn-1-final32peers-repid-3-cordaenterprise-rl-opti"
"2022-09-14 22:08:57+02","2022-09-14 22:15:17+02",406,1663186137,1663186517,380,1.068421052631579,1.412710359420285e+16,1.41274889091097e+16,256.3517733990148,343.67,115.11,67.30160334749527,4529.505813143587,80,0,0,129,1,"4000000-cordaConfiguration-keyvalue-get-40-flalv-rn-1-final32peers-repid-1-cordaenterprise-rl-opti"
"2022-09-14 23:53:39+02","2022-09-14 23:59:58+02",509,1663192419,1663192798,379,1.3430079155672823,1.4133385946639684e+16,1.4133765348315912e+16,224.0621021611002,312.89,92.62,60.87613014441392,3705.9032213596215,64,0,0,146,1,"4000000-cordaConfiguration-keyvalue-get-40-flalv-rn-1-final32peers-repid-2-cordaenterprise-rl-opti"
"2022-09-15 01:38:40+02","2022-09-15 01:43:19+02",328,1663198720,1663198999,279,1.1756272401433692,1.4139686988842712e+16,1.4139970209584188e+16,155.70225609756096,234.72,79.56,34.98366016709097,1223.8564786865072,138,0,0,103,1,"4000000-cordaConfiguration-keyvalue-get-40-flalv-rn-1-final32peers-repid-3-cordaenterprise-rl-opti"
"2022-09-14 22:01:26+02","2022-09-14 22:07:04+02",2640,1663185686,1663186024,338,7.810650887573964,1.4126653368280336e+16,1.4126991244825748e+16,45.65800378787878,89.89,19.02,15.063861932848747,226.9199363319296,2,0,0,706,1,"4000000-cordaConfiguration-keyvalue-set-40-flalv-rn-1-final32peers-repid-1-cordaenterprise-rl-opti"
"2022-09-14 23:46:41+02","2022-09-14 23:52:11+02",2637,1663192001,1663192331,330,7.990909090909091,1.4132967991315816e+16,1.4133302291072112e+16,48.24591202123626,81.15,20.32,14.220474485301027,202.2218945870975,2,0,0,688,1,"4000000-cordaConfiguration-keyvalue-set-40-flalv-rn-1-final32peers-repid-2-cordaenterprise-rl-opti"
"2022-09-15 01:31:32+02","2022-09-15 01:37:12+02",2685,1663198292,1663198632,340,7.897058823529412,1.4139258840792128e+16,1.4139604050417012e+16,48.84870391061453,104.61,19.2,17.38355359462934,302.18793557735063,0,0,0,695,1,"4000000-cordaConfiguration-keyvalue-set-40-flalv-rn-1-final32peers-repid-3-cordaenterprise-rl-opti"
"2022-09-16 19:30:21+02","2022-09-16 19:36:53+02",94,1663349421,1663349813,392,0.23979591836734693,1.4290388454356428e+16,1.4290780209005708e+16,132.19117021276597,386.86,21.56,98.77508785284023,9756.517980336306,13,0,0,48,1,"4000000-cordaConfiguration-sb-balance-40-flalv-rn-1-final32peers-repid-1-cordaos-rl-opti"
