"stf","etf","countallrows","stfe","etfe","duration","tps","minstarttime","maxendtime","avglatency","maxlatency","minlatency","stddevlatency","variancelatency","maxinvalidcounter","maxexististingcounter","maxerrorcounter","maxvalidcounter","cumulativecount","run_id","cid"
"2022-07-24 11:10:18+02","2022-07-24 11:15:32+02",1300,1658653818,1658654132,314,4.140127388535032,9594785192899752.0,9595098836259204.0,195.37432307692532,308.64,109.87,61.813787069130335,3820.944271827784,60335,0,0,1300,1,"4000000-sawtoothConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-5-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10","client-30000000-2-50-74-2-12800-19199"
"2022-07-19 12:19:40+02","2022-07-19 12:24:50+02",30047,1658225980,1658226290,310,96.9258064516129,9166947375307148.0,9167256898519732.0,4.525370586081818,10.51,1.85,1.4509005534195223,2.105112415913076,67,0,0,30047,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000","client-10000000-0-0-24-0-0-6399"
"2022-07-23 13:47:14+02","2022-07-23 13:52:43+02",2500,1658576834,1658577163,329,7.598784194528875,9517805722699084.0,9518135139762058.0,195.41846400000128,318.41,89.63,67.49990301625309,4556.236907203572,59176,0,0,2500,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-5","client-20000000-1-25-49-1-6400-12799"
"2022-07-19 12:27:38+02","2022-07-19 12:32:47+02",30048,1658226458,1658226767,309,97.24271844660194,9167429594479724.0,9167739054691536.0,4.074020899893534,10.43,1.36,1.449381258920408,2.1007060337097068,66,0,0,30048,1,"4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 12:19:40+02","2022-07-19 12:24:50+02",30047,1658225980,1658226290,310,96.9258064516129,9166952371584112.0,9167261887889840.0,4.511675708057357,10.51,1.86,1.4513373997420067,2.1063802478898896,66,0,0,30047,1,"4000000-fabricConfiguration-sb-sendPayment-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-2000","client-40000000-3-75-99-3-19200-25599"
"2022-07-19 21:48:02+02","2022-07-19 21:53:19+02",18256,1658260082,1658260399,317,57.58990536277602,9201049133165978.0,9201365949505940.0,15.032377848378651,22.86,7.17,4.049020069238443,16.394563521095684,0,0,0,18256,1,"4000000-quorumConfiguration-sb-createAccount-40-flalv-rn-1-hetzner-repid-5-quorum-rl-400-ib-5","client-30000000-2-50-74-2-12800-19199"
"2022-07-23 15:54:48+02","2022-07-23 16:00:11+02",1600,1658584488,1658584811,323,4.953560371517028,9525459819521542.0,9525782721546140.0,235.04360000000088,320.37,152.3,61.535147750455664,3786.5744086704085,120009,0,0,1600,1,"4000000-sawtoothConfiguration-keyvalue-set-40-flalv-rn-1-hetzner-repid-7-sawtooth-rl-400-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-2","client-20000000-1-25-49-1-6400-12799"
"2022-07-23 13:07:26+02","2022-07-23 13:12:13+02",3700,1658574446,1658574733,287,12.89198606271777,9515413285953244.0,9515699550301368.0,166.44171891892108,269.26,7,65.75681092839946,4323.958183473274,57964,0,0,3700,1,"4000000-sawtoothConfiguration-donothing-doNothing-40-flalv-rn-1-hetzner-repid-4-sawtooth-rl-200-notpbpc-100-nobpc-1-maxbtperbl-100000-notppc-100-cpbftbpd-10","client-10000000-0-0-24-0-0-6399"
"2022-07-19 11:01:05+02","2022-07-19 11:06:15+02",30040,1658221265,1658221575,310,96.90322580645162,9162232296169706.0,9162541817917968.0,1.1638944740346164,10.48,0.46,0.4873277965467204,0.23748838128708175,75,0,0,30040,1,"4000000-fabricConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-fabric-rl-100-mm-500","client-10000000-0-0-24-0-0-6399"
"2022-07-18 22:31:48+02","2022-07-18 22:33:07+02",10000,1658176308,1658176387,79,126.58227848101266,9117274947510896.0,9117353535356224.0,49.25443000000075,76.13,11.52,15.20517982808687,231.19749360445985,26599,0,0,10000,1,"4000000-grapheneConfiguration-sb-balance-40-flalv-rn-1-hetzner-repid-4-graphene-rl-400-bi-10-opt-100-notpc-1","client-10000000-0-0-24-0-0-6399"
